Condensed DOF,Value
0,0.000000000000e+00
1,-1.562500000000e+01
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-3.125000000000e+01
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,0.000000000000e+00
12,0.000000000000e+00
13,-4.687500000000e+01
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,0.000000000000e+00
18,0.000000000000e+00
19,-6.250000000000e+01
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,0.000000000000e+00
24,0.000000000000e+00
25,-7.812500000000e+01
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,0.000000000000e+00
30,0.000000000000e+00
31,-9.375000000000e+01
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,0.000000000000e+00
36,0.000000000000e+00
37,-1.093750000000e+02
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,0.000000000000e+00
42,0.000000000000e+00
43,-5.989583333333e+01
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,0.000000000000e+00
